graph,family,n_nodes,n_edges,graph_seed,graph_params,init_seed,stress_seed,instance_id,feat_n,feat_m,feat_density,feat_deg_mean,feat_deg_std,feat_deg_max,feat_n_cc,feat_lcc_ratio,feat_avg_clustering,score_Eades,score_Adaptive-Eades,score_FR,score_KK,best_algo
grid_7x7,grid,49,84,,"rows=7,cols=7",10000,10000,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.38422418548307447,0.11866353509798216,0.14598335392280445,0.013205336397819808,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10001,10001,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.2547139147416896,0.12302239535904441,0.1328317639614221,0.013511262512423357,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10002,10002,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.42344565602527945,0.12674151094585123,0.1288026729698851,0.013228028474386868,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10003,10003,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.5250066748627435,0.12327174614150319,0.1681194399553016,0.013206530468779896,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10004,10004,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.2914808226031847,0.11907893455550413,0.14690193204426588,0.013225299675871514,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10005,10005,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.21203696015503026,0.12080014407125536,0.13407130245711818,0.01350607326451945,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10006,10006,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.19703203739501968,0.11877397621804882,0.13366483544583,0.013256026463969693,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10007,10007,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.27195640624985407,0.11909416550739894,0.13129438061527374,0.013164809052138014,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10008,10008,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.6454970949130537,0.5395631869631508,0.13878016366156432,0.013158589340511727,KK
grid_7x7,grid,49,84,,"rows=7,cols=7",10009,10009,grid_7x7|gseed=None,49,84,0.07142857142857142,3.4285714285714284,0.6388765649999399,4.0,1,1.0,0.0,0.41632595921133914,0.4458842903974471,0.15462704836735444,0.01316753218249506,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10100,10100,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,0.6355612208691706,0.1493797625336396,0.1776152190415483,0.013651584327870241,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10101,10101,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,1.5619878982784692,0.1508449673991088,0.16507555859659676,0.013659846512199389,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10102,10102,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,0.700014814902141,0.15174803039055276,0.19684471996462366,0.013796916636998044,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10103,10103,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,0.49964762948568686,0.1549975681854545,0.2177724527971761,0.013680662088597154,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10104,10104,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,0.9943035245084203,0.15830269361840046,0.17759162965709668,0.013700046654736616,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10105,10105,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,0.5260136224124958,0.43767222697901703,0.1795788759168614,0.013644728121458638,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10106,10106,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,1.9674899186561259,0.1499471672330837,0.19989942663473687,0.013840934728699423,KK
grid_10x10,grid,100,180,,"rows=10,cols=10",10107,10107,grid_10x10|gseed=None,100,180,0.03636363636363636,3.6,0.5656854249492381,4.0,1,1.0,0.0,0.9929890502144625,0.1557100253170213,0.18810281738496815,0.01364714067529615,KK
